"","bailleurs","secteurs","residence"
"78","ANTIN RESIDENCE","Secteur Centre ville/Gare","Guesde"
"79","ANTIN RESIDENCE","Secteur la Remise a Jorelle -","Salengro"
"81","ANTIN RESIDENCE","Secteur la Remise a Jorelle -","Résidence Gabrielle"
"82","ANTIN RESIDENCE","Secteur Merisiers/14 Juillet","IRP"
"84","ANTIN RESIDENCE","Secteur Merisiers/14 Juillet","La Résidence Maurice Benhamou - Varagnat"
"87","BATIGERE","Secteur Centre ville/Gare","Jean Jaurés"
"88","BATIGERE","Secteur Centre ville/Gare","République"
"91","OSICA","Secteur Centre ville/Gare","Résidence du Breuil"
"94","LOGIS TRANSPORTS","Secteur Merisiers/14 Juillet","\ La Résidence Maurice Benhamou"
"97","ESPACE HABITAT","Secteur La Mare a la Veuve","Résidence l’Europe"
"100","SOFILOGIS","Secteur Fosse de la Regale","Guesde"
"102","SOFILOGIS","Secteur Fosse de la Regale","Résidence Rendez-Vous"
"103","SOFILOGIS","Secteur Fosse de la Regale","Répertoire du parc HLM - Aout - Etude Patrimoniale"
"104","SOFILOGIS","Secteur Fosse de la Regale",""
"107","EFIDIS ","Secteur De Lattre de Tassigny","Résidence des Cerises"
"110","FRANCE HABITATION","Secteur la Remise a Jorelle","Résidence des arts"
